119.39,211.09,10
129.39,210.99,20
139.39,210.9,30
149.39,210.82,40
159.39,210.74,50
169.39,210.66,60
179.39,210.58,70
189.39,210.52,80
199.39,210.46,90
209.39,210.41,100
219.39,210.36,110
229.39,210.3,120
239.39,210.25,130
249.39,210.19,140
259.39,210.15,150
269.4,210.11,160
279.39,210.08,170
289.39,210.06,180
299.4,210.03,190
309.39,210,200
319.39,209.97,210
329.39,209.95,220
339.39,209.92,230
349.39,209.89,240
359.39,209.86,250
369.39,209.84,260
379.39,209.81,270
389.39,209.78,280
399.4,209.76,290
409.39,209.74,300
419.39,209.72,310
429.39,209.71,320
439.39,209.7,330
449.39,209.69,340
459.39,209.69,350
469.39,209.68,360
479.39,209.67,370
489.39,209.67,380
499.39,209.67,390
509.39,209.67,400
519.39,209.67,410
529.39,209.67,420
539.39,209.67,430
549.39,209.67,440
559.39,209.67,450
569.39,209.67,460
579.39,209.67,470
589.39,209.67,480
599.4,209.67,490
