-60.8554, 296.928, 834.885
-56.5002, 295.2563, 839.550
-52.2353, 293.3658, 844.215
-48.0532, 291.2987, 848.880
-43.9423, 289.0931, 853.545
-39.8918, 286.7783, 858.210
-35.8857, 284.3872, 862.876
-31.8961, 281.9688, 867.541
-27.9019, 279.5579, 872.207
-23.8142, 277.3105, 876.871
-19.5914, 275.3294, 881.536
-15.2356, 273.6617, 886.200
-10.7676, 272.3226, 890.864
-6.2127, 271.318, 895.529
-1.6072, 270.5777, 900.193
3.0359, 270.1312, 904.858
7.6968, 269.9294, 909.523
12.3614, 269.8401, 914.189
17.0262, 269.7686, 918.854
96.3369, 269.5587, 998.165
101.002, 269.504, 1002.830
105.6654, 269.375, 1007.495
110.3216, 269.088, 1012.160
114.9621, 268.6081, 1016.826
119.5705, 267.889, 1021.490
124.0939, 266.7539, 1026.154
128.4987, 265.2213, 1030.817
132.7914, 263.3957, 1035.482
137.0125, 261.4092, 1040.147
141.1851, 259.3233, 1044.812
145.2361, 257.0109, 1049.477
149.1408, 254.4588, 1054.141
152.9434, 251.7559, 1058.807
156.6711, 248.9513, 1063.472
160.2571, 245.9678, 1068.137
163.6875, 242.8067, 1072.801
166.9615, 239.4837, 1077.466
170.129, 236.0585, 1082.132
173.1371, 232.4933, 1086.796
175.9362, 228.7621, 1091.461
178.4984, 224.864, 1096.125
180.8741, 220.8492, 1100.791
183.1121, 216.7558, 1105.456
185.2048, 212.5865, 1110.121
187.1244, 208.3347, 1114.786
188.854, 204.0024, 1119.451
190.3127, 199.5718, 1124.115
191.4564, 195.0501, 1128.779
192.2242, 190.4495, 1133.444
192.9, 185.8227, 1138.119
193.5, 181.199, 1142.782
194.03, 176.5746, 1147.437
194.405, 171.9308, 1152.095
194.65, 167.2712, 1156.761
194.85, 162.6074, 1161.430
195.05, 157.9425, 1166.099
195.2, 153.2773, 1170.766
204.1252, -107.7962, 1431.992
204.3272, -112.4573, 1436.658
204.4966, -117.1197, 1441.323
204.669, -121.7819, 1445.989
204.818, -126.4448, 1450.654
204.8004, -131.1098, 1455.319
204.4705, -135.7616, 1459.983
203.6377, -140.3488, 1464.645
202.1617, -144.7686, 1469.304
200.0112, -148.9037, 1473.965
197.2703, -152.6722, 1478.625
193.9285, -155.9184, 1483.284
190.099, -158.5767, 1487.946
185.959, -160.7206, 1492.608
181.6275, -162.4512, 1497.272
177.1717, -163.4, 1501.828
170, -164, 1509.025
165, -164.418, 1514.042
155, -165.255, 1524.077
130, -167.347, 1549.165
115, -168.602, 1564.217
105, -169.439, 1574.252
